authorize v.授权,批准
gossamer n．蛛丝，薄纱，adj．轻而薄的
inception n．开端，开始，取得学位
tutelage n．监护，指导
pompous adj．自大的
malice n．恶意
semblance n．外貌，相似
obstruction n．阻挠，障碍物
salubrious adj．有益健康的
magniloquent adj．夸张的
appropriation n．拨款，挪用公款
sluggard n．懒鬼
obese adj．极肥胖的
daunt v．使胆怯，使畏缩
toil n．v．辛苦，辛勤劳作
temper v．锻炼，缓和n．脾气
trench n．沟，壕沟
fictitious adj．假的、虚构的
definition n．（轮廓等）清晰，定义
eruption n．爆发
chuckle v．轻声地笑
cow v.恐吓，吓倒
nonentity n．无能力之人，不重要
warp n．v．翘起，弯曲
luminous adj．发光的，易懂的
prognosticate v．预测,预示
masquerade n．化装舞会，v．伪装
perjure v．作伪证，发假誓
sliver n．长条，细片，v．裂成细片
autonomy n.自治,自主
shrill adj．尖锐的、剌耳的
gusto n．爱好，兴致勃勃
spiny adj．针状的，多刺的
tenable adj．站得住脚的，无懈可击的
pundit n．权威人士,专家
dulcet adj．（声音）悦耳的，美妙的
kitten n．小猫
amicable adj．友好的
vault n．拱顶，地窖
frond n．（羊齿（fern），棕榈等的）叶子
ailment n．（不严重的）疾病
premium n．保险费,奖金
edify v．陶冶，启发
host n．东道主，（寄生物之）寄主
behold v．目睹，看见
capacious adj．容量大的，宽敞的，
beget v．产生，引起
gluttony n．暴饮暴食
imminent adj．即将发生的，逼近的
gargoyle n．（雕刻成怪兽状的）滴水嘴，面貌丑恶的人
exception n.例外,异议
hurricane n．飓风
caribou n.北美驯鹿
sibylline adj．预言的
harbinger n．先驱，先兆．
celebrity n．名人，知名人士
astringent adj．止血的，收缩的n．收缩剂，止血剂
nudge v．（用肘）轻触，轻推
tepid adj．微温的
vertiginous adj．令人眩晕的
responsive adj．敏感的，反应快的
scab n．创口上所结的疤，痂
deflection n．转向，偏斜
jagged adj．锯齿状的，不整齐的
conceive v．怀孕，构想
rhapsodize v．过份赞美
observance n．遵守，奉行（法律，习俗）
shyster n.奸诈的人，讼棍
addictive adj．（毒品等）使人上瘾的
perfunctory adj．草率的，敷衍的
buggy n．轻型马车，婴儿车
fomentation n．煽动，助长
composite adj．拼凑成的，混合成的
rack v.折磨，使痛苦
intervene v．介入,干涉
belongings n．所有物，财产
ignominious adj．可耻的，屈辱的
specter n．鬼魂，幽灵，恐惧
generosity n．慷慨、大方
intrepidity n．无畏
obeisance n．鞠躬，敬礼
manifesto n．宣言，声明
monogamy n．一夫一妻制
hawker n．沿街叫卖之小贩
pedestrian adj．徒步的，缺乏想像的n．行人
purchase n．支点(阻止东西下滑)
desalinize v．除去盐份
tournament n．比赛，（旧时）骑士比武大会
gestation n．怀孕，孕育时期
underhanded adj．不光明的，卑鄙的
rectitude n．诚实，正直
precarious adj．危险的
gargantuan adj．巨大的，庞大的
metaphorical adj．隐喻的，比喻的
reciprocal adj．相互的，互惠的
mediocrity n．平庸，碌碌之人
stomach 　v．吃得下，容忍
obviate v．排除（困难）
lair n．野兽的巢穴，躲藏处
snoop v．窥伺，打听，n．窥探者
gluttony n．暴饮暴食
landlocked adj．被陆地包围的
excruciating adj.极痛苦的
dilute v．把（液体）弄稀、弄淡
pod n．豆荚,v．剥掉(豆荚)
incense n．香，香味v．激怒
revile v．辱骂，恶言相问
sobriquet n．浑名，绰号
undesirable adj．令人不悦的，讨厌的
intertwine v．纠缠,缠绕
tambourine n．铃鼓，手鼓
